No. de cuenta / control,Año de nacimiento,Grado que cursas actualmente:,¿Cuál es el ingreso familiar mensual?,¿Cuál es el ingreso personal mensual?,"Pensando en el jefe o jefa del hogar , ¿cuál fue el último grado de estudios que aprobó en la escuela?",Ocupación actual del padre,Ocupación actual de la madre,"¿Cuántos automóviles, camionetas cerradas, vans o pick-ups tiene este hogar?",Seleccione los servicios y bienes con los que cuenta en su casa,"Sin tomar en cuenta la conexión móvil desde algún celular, ¿su hogar cuenta con internet?",¿Cuántos cuartos tiene su casa que se utilizan para dormir?,"¿Cuántas personas viven en su casa, incluido usted?",¿Cuántos baños completos tiene esta vivienda con excusado/WC y regadera?,¿Cuántas personas de 14 años o más trabajan actualmente o trabajaron el mes pasado?,"A la semana, ¿qué tanto consume los siguientes alimentos? [Carne]","A la semana, ¿qué tanto consume los siguientes alimentos? [Huevos]","A la semana, ¿qué tanto consume los siguientes alimentos? [Leche]","A la semana, ¿qué tanto consume los siguientes alimentos? [Frutas y verduras]","A la semana, ¿qué tanto consume los siguientes alimentos? [Frijoles/arroz/lentejas]","A la semana, ¿qué tanto consume los siguientes alimentos? [Pan]","A la semana, ¿qué tanto consume los siguientes alimentos? [Cereales]",origen_registro,nivel_socioeconomico_amai,valor_amai_normalizado
SINT-0359,2008,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Preparatoria completa,Trabajo informal/obrero,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Computadora,Si,2,3,1,2,1–2 porciones,1–2 porciones,6–10 porciones,1–2 porciones,Más de 10,1–2 porciones,1–2 porciones,sintetico,C,0.506667
SINT-0360,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,3,5,1,1,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,sintetico,C-,0.45
SINT-0361,2006,Universidad.,"$10,001–20,000","Más de $6,000",Licenciatura completa,Trabajo informal/obrero,Trabajo informal/obrera,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Un cuarto propio para dormir, Teléfono celular, Televisión, Computadora",Si,1,2,1,0,3–5 porciones,6–10 porciones,6–10 porciones,1–2 porciones,6–10 porciones,6–10 porciones,6–10 porciones,sintetico,C,0.483333
SINT-0362,2007,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,3,2,1,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C+,0.626667
SINT-0363,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria incompleta,Comerciante,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora; Diccionario o enciclopedia,Si,3,5,1,2,6–10 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,sintetico,C,0.483333
SINT-0364,2009,Preparatoria/Bachillerato.,"Menos de $5,000","Menos de $3,000",Sin instrucción,Comerciante,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora,No,3,4,1,1,1–2 porciones,6–10 porciones,1–2 porciones,Más de 10,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,D,0.21
SINT-0365,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Carrera técnica,Comerciante,Profesionista,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Videograbadora; Calculadora; Computadora; Diccionario o enciclopedia,Si,5,3,1,1,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,1–2 porciones,sintetico,C,0.493333
SINT-0366,2008,Preparatoria/Bachillerato.,"$5,001–10,000","$3,001–6,000",Carrera técnica,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,2,4,1,1,1–2 porciones,1–2 porciones,6–10 porciones,1–2 porciones,6–10 porciones,3–5 porciones,1–2 porciones,sintetico,D+,0.366667
SINT-0367,2010,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Preparatoria completa,Comerciante,Comerciante,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora,Si,4,5,1,1,1–2 porciones,Nunca,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico,C,0.506667
SINT-0368,2005,Universidad.,"Menos de $5,000",No tengo ingresos,Secundaria completa,Empleado,Desempleada,0,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Un cuarto propio para dormir, Teléfono celular, Televisión por cable o satélite, Computadora",Si,3,4,1,2,1–2 porciones,3–5 porciones,Nunca,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico,C-,0.43
SINT-0369,2006,Universidad.,"$5,001–10,000",No tengo ingresos,Licenciatura incompleta,Comerciante,Comerciante,1,Drenaje; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite,Si,4,6,1,2,1–2 porciones,1–2 porciones,Nunca,1–2 porciones,6–10 porciones,6–10 porciones,6–10 porciones,sintetico,C+,0.59
SINT-0370,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Computadora; Diccionario o enciclopedia,Si,2,5,1,3,6–10 porciones,6–10 porciones,3–5 porciones,Nunca,3–5 porciones,Más de 10,3–5 porciones,sintetico,C-,0.453333
SINT-0371,2008,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Preparatoria completa,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora; Computadora,Si,3,4,2,2,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,sintetico,C+,0.61
SINT-0372,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,5,1,2,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,6–10 porciones,sintetico,C-,0.456667
SINT-0373,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria completa,Trabajo informal/obrero,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Teléfono celular; Televisión,Si,3,4,1,1,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,Nunca,1–2 porciones,sintetico,D+,0.353333
SINT-0374,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Reproductor DVD; Calculadora; Computadora,Si,2,2,1,2,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,1–2 porciones,sintetico,C-,0.403333
SINT-0375,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Televisión; Reproductor DVD; Calculadora,Si,3,4,1,1,1–2 porciones,1–2 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,sintetico,C-,0.406667
SINT-0376,2008,Preparatoria/Bachillerato.,"Menos de $5,000","Menos de $3,000",Sin instrucción,Comerciante,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora,No,3,4,1,1,1–2 porciones,3–5 porciones,3–5 porciones,6–10 porciones,Más de 10,3–5 porciones,1–2 porciones,sintetico,D,0.21
SINT-0377,2010,Preparatoria/Bachillerato.,"Más de $20,000",No tengo ingresos,Preparatoria incompleta,Comerciante,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Calculadora; Computadora,Si,4,6,1,2,3–5 porciones,1–2 porciones,6–10 porciones,1–2 porciones,6–10 porciones,3–5 porciones,Nunca,sintetico,C,0.473333
SINT-0378,2006,Universidad.,"$5,001–10,000","Más de $6,000",Licenciatura completa,Empleado,Desempleada,1,"Drenaje, Agua entubada, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Teléfono, Teléfono celular, Televisión, Computadora",Si,1,2,1,0,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,1–2 porciones,sintetico,C,0.483333
SINT-0379,2004,Universidad.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Empleada,1,"Drenaje, Agua entubada, Alumbrado público, Teléfono, Teléfono celular, Televisión, Calculadora",Si,2,5,1,2,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C,0.506667
SINT-0380,2010,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Licenciatura incompleta,Empleado,Empleada,1,"Drenaje, Alumbrado público, Calles pavimentadas, Recolección periódica de basura, Calentador de gas para agua, Teléfono celular, Televisión, Calculadora, Computadora, Diccionario o enciclopedia",Si,2,3,1,1,1–2 porciones,3–5 porciones,Nunca,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,sintetico,C,0.483333
SINT-0381,2009,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Preparatoria completa,Comerciante,Desempleada,1,Drenaje; Agua entubada; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono; Teléfono celular; Televisión; Reproductor DVD; Calculadora; Computadora,Si,3,4,1,2,6–10 porciones,1–2 porciones,3–5 porciones,1–2 porciones,6–10 porciones,3–5 porciones,1–2 porciones,sintetico,C,0.533333
SINT-0382,2010,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Carrera técnica,Desempleado,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,2,6,1,3,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,sintetico,C,0.543333
SINT-0383,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria incompleta,Trabajo informal/obrero,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Calculadora,No,2,5,1,1,1–2 porciones,1–2 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,sintetico,D,0.26
SINT-0384,2006,Universidad.,"$5,001–10,000","$3,001–6,000",Carrera técnica,Profesionista,Desempleada,1,"Drenaje, Calles pavimentadas, Calentador de gas para agua, Un cuarto propio para dormir, Televisión, Computadora",Si,4,5,1,3,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,sintetico,C+,0.596667
SINT-0385,2009,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Secundaria completa,Comerciante,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Reproductor DVD; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,4,1,2,1–2 porciones,1–2 porciones,6–10 porciones,3–5 porciones,Más de 10,1–2 porciones,6–10 porciones,sintetico,C,0.476667
SINT-0386,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Licenciatura incompleta,Profesionista,Empleada,3,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Reproductor DVD; Calculadora; Diccionario o enciclopedia; Suscripción a revista o periódico,Si,3,4,3,2,3–5 porciones,1–2 porciones,1–2 porciones,6–10 porciones,6–10 porciones,6–10 porciones,3–5 porciones,sintetico,A/B,0.71
SINT-0387,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,3,2,1,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C+,0.626667
SINT-0388,011206,Universidad.,"$5,001–10,000","$3,001–6,000",Carrera técnica,Profesionista,Desempleada,1,"Drenaje, Calles pavimentadas, Calentador de gas para agua, Un cuarto propio para dormir, Televisión, Computadora",Si,4,5,1,3,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,1–2 porciones,sintetico,C+,0.596667
SINT-0389,2008,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Secundaria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Videograbadora; Calculadora; Computadora,Si,2,3,1,1,3–5 porciones,3–5 porciones,Más de 10,Nunca,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C-,0.403333
SINT-0390,2008,Universidad.,"Menos de $5,000",No tengo ingresos,Primaria completa,Trabajo informal/obrero,Comerciante,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Teléfono celular; Televisión,No,1,4,1,2,1–2 porciones,3–5 porciones,6–10 porciones,6–10 porciones,Más de 10,1–2 porciones,Nunca,sintetico,C-,0.39
SINT-0391,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Carrera técnica,Empleado,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Teléfono celular; Televisión; Calculadora; Diccionario o enciclopedia,No,4,3,1,2,1–2 porciones,1–2 porciones,Nunca,1–2 porciones,6–10 porciones,6–10 porciones,6–10 porciones,sintetico,C-,0.44
SINT-0392,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Carrera técnica,Comerciante,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia; Suscripción a revista o periódico,Si,3,3,2,2,Más de 10,1–2 porciones,Más de 10,3–5 porciones,3–5 porciones,Más de 10,Nunca,sintetico,C+,0.596667
SINT-0393,2005,Universidad.,"Menos de $5,000",No tengo ingresos,Secundaria completa,Empleado,Comerciante,0,"Drenaje, Calles pavimentadas, Un cuarto propio para dormir, Teléfono celular, Televisión, Computadora",Si,3,4,1,2,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C-,0.43
SINT-0394,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria incompleta,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Calculadora; Computadora,No,2,6,1,2,Nunca,1–2 porciones,1–2 porciones,3–5 porciones,1–2 porciones,6–10 porciones,1–2 porciones,sintetico,D,0.313333
SINT-0395,2010,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Licenciatura incompleta,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Teléfono; Teléfono celular; Televisión; Reproductor DVD; Calculadora; Computadora,Si,3,3,3,1,3–5 porciones,3–5 porciones,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,sintetico,C,0.513333
SINT-0396,2006,Universidad.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Empleado,Trabajo informal/obrera,1,Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Computadora; Diccionario o enciclopedia,Si,2,3,1,2,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,6–10 porciones,sintetico,C,0.506667
